term	body_site	phylum	family	refOTUs	ref_mOTU_cluster	prev.oral	prev.gut	R2	p.adj
smoker	both	1239 Firmicutes	128827 Erysipelotrichaceae	39483 Faecalitalea cylindroides	ref_mOTU_v2_1470	0	11.76	1.73	0.0491688888888889
status	both	1239 Firmicutes	186806 Eubacteriaceae	39484 Eubacterium desmolans	ref_mOTU_v2_3307	0	3.68	4.16	0.0141833333333333
status	feces	1239 Firmicutes	186806 Eubacteriaceae	39484 Eubacterium desmolans	ref_mOTU_v2_3307	0	3.68	4.18	0.0141833333333333
status	feces	1239 Firmicutes	NA Clostridiales fam. incertae sedis	384638 [Bacteroides] pectinophilus	ref_mOTU_v2_4341	0	10.29	3.58	0.0141833333333333
status	feces	1239 Firmicutes	128827 Erysipelotrichaceae	100883 Coprobacillus sp. [C 29_1/D6]	ref_mOTU_v2_1401	1.01	30.88	3.36	0.0141833333333333
status	both	1239 Firmicutes	909930 Acidaminococcaceae	187327 Acidaminococcus intestini [C]	ref_mOTU_v2_0391	1.01	23.53	27.12	0.0141833333333333
status	feces	1239 Firmicutes	909930 Acidaminococcaceae	187327 Acidaminococcus intestini [C]	ref_mOTU_v2_0391	1.01	23.53	27.12	0.0141833333333333
status	both	1239 Firmicutes	NA Clostridiales fam. incertae sedis	384638 [Bacteroides] pectinophilus	ref_mOTU_v2_4341	0	10.29	3.4	0.021275
status	both	1239 Firmicutes	1300 Streptococcaceae	999425 Streptococcus sp. F0442	ref_mOTU_v2_5298	84.85	38.24	2.34	0.021275
status	both	201174 Actinobacteria	31953 Bifidobacteriaceae	419015 Alloscardovia omnicolens	ref_mOTU_v2_0446	52.53	19.85	6.77	0.0283666666666667
status	both	1239 Firmicutes	186803 Lachnospiraceae	1512 [Clostridium] symbiosum [C]	ref_mOTU_v2_1475	0	53.68	3.26	0.0386818181818182
status	feces	1239 Firmicutes	186803 Lachnospiraceae	84030 [Clostridium] saccharolyticum [C]	ref_mOTU_v2_1380	0	16.91	2.97	0.0386818181818182
status	both	1239 Firmicutes	186803 Lachnospiraceae	84030 [Clostridium] saccharolyticum [C]	ref_mOTU_v2_1380	0	16.91	2.82	0.0453866666666667
status	both	1239 Firmicutes	186803 Lachnospiraceae	742723 Lachnospiraceae bacterium 2_1_46FAA	ref_mOTU_v2_4878	0	1.47	3.34	0.0453866666666667
status	both	1239 Firmicutes	128827 Erysipelotrichaceae	31971 [Eubacterium] dolichum	ref_mOTU_v2_4236	0	6.62	2.93	0.0453866666666667
status	both	1239 Firmicutes	1300 Streptococcaceae	1316408 Streptococcus sp. HSISM1	ref_mOTU_v2_0145	95.96	69.12	1.91	0.0453866666666667
