	MMPC19392645OR	MMPC19392645OR	MMPC13726847ST	MMPC13726847ST	MMPC12800445ST	MMPC12800445ST	MMPC16706723ST	MMPC16706723ST	MMPC16651671ST	MMPC16651671ST	MMPC21449543ST	MMPC21449543ST	MMPC17251241ST	MMPC17251241ST	MMPC24035292ST	MMPC24035292ST	MMPC16382508ST	MMPC16382508ST	MMPC20689138ST	MMPC19824023OR	MMPC52849207OR	MMPC19824023OR	MMPC52849207OR	MMPC20689138ST	MMPC52574889OR	MMPC30948868ST	MMPC53642802ST	MMPC52574889OR	MMPC53642802ST	MMPC30948868ST	MMPC34174031ST	MMPC34174031ST	MMPC54012223OR	MMPC28881424OR	MMPC54944306ST	MMPC54944306ST	MMPC54012223OR	MMPC28881424OR	MMPC40914520ST	MMPC22312907ST	MMPC54160426OR	MMPC32262645OR	MMPC40914520ST	MMPC54160426OR	MMPC32262645OR	MMPC54455576OR	MMPC22312907ST	MMPC54455576OR	MMPC23660755ST	MMPC55889507OR	MMPC51170653OR	MMPC55889507OR	MMPC51170653OR	MMPC23660755ST	MMPC22175846ST	MMPC55860177OR	MMPC56085636OR	MMPC56843559OR	MMPC55860177OR	MMPC56843559OR	MMPC56085636OR	MMPC22175846ST	MMPC11597832ST	MMPC60840390ST	MMPC60840390ST	MMPC61873807OR	MMPC61873807OR	MMPC52379257ST	MMPC60116897OR	MMPC60116897OR	MMPC57142773OR	MMPC52379257ST	MMPC27383418OR	MMPC57142773OR	MMPC59659730ST	MMPC55225619ST	MMPC59659730ST	MMPC63364113ST	MMPC48152369ST	MMPC55225619ST	MMPC63364113ST	MMPC48152369ST	MMPC27383418OR	MMPC41357154OR	MMPC41357154OR	MMPC64423720OR	MMPC64423720OR	MMPC63628582OR	MMPC66171614OR	MMPC63628582OR	MMPC66171614OR	MMPC65407889OR	MMPC65407889OR	MMPC60219907OR	MMPC59362655ST	MMPC19619725ST	MMPC60219907OR	MMPC65662501ST	MMPC65662501ST	MMPC59362655ST	MMPC57477276OR	MMPC57469621ST	MMPC64434180ST	MMPC64434180ST	MMPC57477276OR	MMPC19619725ST	MMPC55161862ST	MMPC57469621ST	MMPC65022621OR	MMPC65022621OR	MMPC59151585ST	MMPC58110896OR	MMPC58110896OR	MMPC63481302ST	MMPC55161862ST	MMPC59151585ST	MMPC62647302OR	MMPC63481302ST	MMPC11597832ST	MMPC62647302OR	MMPC71889536OR	MMPC71889536OR	MMPC54830782ST	MMPC68695449ST	MMPC68695449ST	MMPC82779175ST	MMPC54830782ST	MMPC82779175ST	MMPC83679680ST	MMPC83679680ST	MMPC95862719OR	MMPC95862719OR	MMPC73162206OR	MMPC73162206OR	MMPC68638114OR	MMPC65660081OR	MMPC68638114OR	MMPC65660081OR	MMPC99615156ST	MMPC99615156ST	MMPC64507639OR	MMPC64507639OR	MMPC87948870OR	MMPC87948870OR	MMPC86976445OR	MMPC84070936OR	MMPC86976445OR	MMPC84070936OR	MMPC88343716ST	MMPC88343716ST	MMPC83312436ST	MMPC85565182OR	MMPC83312436ST	MMPC85565182OR	MMPC67317135ST	MMPC93983194ST	MMPC67317135ST	MMPC72235353OR	MMPC93983194ST	MMPC72235353OR	MMPC12345974ST	MMPC11113549ST	MMPC11113549ST	MMPC84979047ST	MMPC84979047ST	MMPC12345974ST	MMPC96182596ST	MMPC96182596ST	MMPC82784238ST	MMPC82784238ST	MMPC68480658ST	MMPC68480658ST	MMPC63233635ST	MMPC63233635ST	MMPC14211565ST	MMPC49013463ST	MMPC14211565ST	MMPC49013463ST	MMPC73667956ST	MMPC61634104ST	MMPC61634104ST	MMPC73667956ST	MMPC53747560ST	MMPC53747560ST	MMPC23673679ST	MMPC96048560ST	MMPC23673679ST	MMPC96048560ST	MMPC43926327ST	MMPC43926327ST	MMPC10431544ST	MMPC10431544ST
CBM43	4	4	4	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	5	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	28	0	0	0	10	0	10	28	2	2	28	0	0	3	4	3	4	25	25	0	0
CBM48	12385	12385	105068	105068	96492	96492	156576	156576	211951	211951	125231	125231	210683	210683	94891	94891	87572	87572	160348	61962	25347	61962	25347	160348	27827	143348	106028	27827	106028	143348	64819	64819	23917	93310	53589	53589	23917	93310	154209	162012	76045	60498	154209	76045	60498	43394	162012	43394	166378	90372	34707	90372	34707	166378	201786	19166	33286	56836	19166	56836	33286	201786	152358	71617	71617	11022	11022	180860	37867	37867	109112	180860	103083	109112	131822	163393	131822	85745	305995	163393	85745	305995	103083	140107	140107	48943	48943	38568	12753	38568	12753	112180	112180	53790	228100	208524	53790	90182	90182	228100	592535	152079	136428	136428	592535	208524	154749	152079	95762	95762	291063	41531	41531	198081	154749	291063	87800	198081	152358	87800	14050	14050	144620	105560	105560	82668	144620	82668	99697	99697	14254	14254	65807	65807	128116	70886	128116	70886	84757	84757	92176	92176	28897	28897	30035	105704	30035	105704	143530	143530	108045	320911	108045	320911	145101	98886	145101	77661	98886	77661	259452	170954	170954	159997	159997	259452	204441	204441	176256	176256	1898846	1898846	2656074	2656074	1766406	2016047	1766406	2016047	2085602	1513038	1513038	2085602	1661127	1661127	2252118	1804683	2252118	1804683	3228496	3228496	2820725	2820725
CBM5	1	1	99	99	255	255	301	301	67	67	140	140	7	7	285	285	69	69	14	0	0	0	0	14	0	19	21	0	21	19	42	42	0	0	3	3	0	0	0	35	0	0	0	0	0	0	35	0	18	0	0	0	0	18	163	0	0	0	0	0	0	163	113	28	28	0	0	146	0	0	0	146	0	0	27	12	27	73	0	12	73	0	0	0	0	0	0	0	0	0	0	0	0	0	136	984	0	18	18	136	0	115	35	35	0	984	14	115	0	0	167	0	0	211	14	167	0	211	113	0	0	0	6	53	53	108	6	108	12	12	0	0	0	0	0	0	0	0	43	43	0	0	0	0	0	0	0	0	109	109	17	0	17	0	176	22	176	0	22	0	84	281	281	368	368	84	0	0	65	65	66	66	1073	1073	7	311	7	311	3054	58	58	3054	16	16	235	518	235	518	1575	1575	31	31
CBM50	1399	1399	42290	42290	1724	1724	11546	11546	15401	15401	3662	3662	4503	4503	4770	4770	3155	3155	2810	6217	3277	6217	3277	2810	1789	11236	1184	1789	1184	11236	2109	2109	2528	3976	937	937	2528	3976	7160	6495	8166	6126	7160	8166	6126	5417	6495	5417	6120	2739	6011	2739	6011	6120	5441	5973	2521	8658	5973	8658	2521	5441	85479	2228	2228	1132	1132	8575	2831	2831	10832	8575	3762	10832	66868	3475	66868	1610	12576	3475	1610	12576	3762	345574	345574	7193	7193	5028	174512	5028	174512	5009	5009	4712	5638	3837	4712	2244	2244	5638	4396	2894	1129	1129	4396	3837	6064	2894	10795	10795	8555	4014	4014	8872	6064	8555	6269	8872	85479	6269	1224	1224	4705	6319	6319	1702	4705	1702	3360	3360	1384	1384	64455	64455	12147	3383	12147	3383	1311	1311	9414	9414	2755	2755	1963	8288	1963	8288	454238	454238	13576	20992	13576	20992	5160	25483	5160	9101	25483	9101	6943	4075	4075	2354	2354	6943	6374	6374	9931	9931	150799	150799	122824	122824	69088	196938	69088	196938	102205	125947	125947	102205	90518	90518	130606	120694	130606	120694	64196	64196	101477	101477
CBM6	89	89	2160	2160	8425	8425	3023	3023	7047	7047	4964	4964	9542	9542	393	393	2013	2013	18123	33	75	33	75	18123	42	5637	505	42	505	5637	2779	2779	46	119	673	673	46	119	6574	10372	42	206	6574	42	206	57	10372	57	2402	121	411	121	411	2402	7166	108	23	63	108	63	23	7166	750	6715	6715	4	4	7263	89	89	55	7263	287	55	6906	8309	6906	1276	9669	8309	1276	9669	287	58	58	47	47	373	8	373	8	49	49	107	7424	25431	107	2347	2347	7424	200	12710	7778	7778	200	25431	6508	12710	27	27	5987	40	40	7752	6508	5987	52	7752	750	52	132	132	6644	4359	4359	1562	6644	1562	9386	9386	11	11	275	275	24	30	24	30	6526	6526	104	104	40	40	4	171	4	171	4356	4356	2204	22	2204	22	8107	3466	8107	120	3466	120	14154	4380	4380	1498	1498	14154	21990	21990	10482	10482	17119	17119	111135	111135	92773	171400	92773	171400	101116	16690	16690	101116	65603	65603	117218	132325	117218	132325	116192	116192	181113	181113
CBM73	11	11	546	546	335	335	995	995	1120	1120	526	526	1146	1146	1100	1100	1896	1896	1010	3	12	3	12	1010	17	1815	738	17	738	1815	12578	12578	8	2	264	264	8	2	431	1821	44	10	431	44	10	39	1821	39	9486	44	22	44	22	9486	1814	16	13	4	16	4	13	1814	165	777	777	1	1	3626	2	2	4	3626	24	4	770	1069	770	331	2025	1069	331	2025	24	7	7	4	4	80	0	80	0	11	11	54	1426	1130	54	6957	6957	1426	41	818	1324	1324	41	1130	1271	818	21	21	741	0	0	2523	1271	741	55	2523	165	55	9	9	10836	722	722	186	10836	186	124	124	2	2	45	45	9	1	9	1	592	592	15	15	14	14	1	88	1	88	1240	1240	636	39	636	39	2779	8581	2779	22	8581	22	1983	1067	1067	481	481	1983	2401	2401	2198	2198	15669	15669	35167	35167	29837	7852	29837	7852	27639	18258	18258	27639	22591	22591	135084	10519	135084	10519	30185	30185	15923	15923
CE1	871	871	4953	4953	10960	10960	17600	17600	14842	14842	8128	8128	28932	28932	14016	14016	6985	6985	15116	4836	1881	4836	1881	15116	2413	7810	11408	2413	11408	7810	9179	9179	2308	8851	7412	7412	2308	8851	7311	14345	7702	3616	7311	7702	3616	3137	14345	3137	10141	2517	3234	2517	3234	10141	18385	1432	1513	3521	1432	3521	1513	18385	52909	6294	6294	789	789	13909	2367	2367	8867	13909	3346	8867	15291	15568	15291	4294	19664	15568	4294	19664	3346	13168	13168	2843	2843	2820	1170	2820	1170	4295	4295	5687	12181	43187	5687	8730	8730	12181	3053	16922	9706	9706	3053	43187	20615	16922	5104	5104	15430	4409	4409	12724	20615	15430	6626	12724	52909	6626	1200	1200	17693	12263	12263	8984	17693	8984	8954	8954	504	504	4017	4017	10205	6662	10205	6662	6990	6990	5124	5124	2515	2515	1302	7831	1302	7831	8357	8357	6579	15035	6579	15035	12800	11406	12800	5533	11406	5533	34462	9201	9201	33456	33456	34462	43902	43902	15658	15658	437897	437897	315800	315800	220140	241002	220140	241002	177470	87192	87192	177470	256940	256940	226955	218179	226955	218179	142763	142763	471004	471004
CE10	2496	2496	6017	6017	5605	5605	19525	19525	11023	11023	9795	9795	15752	15752	34436	34436	12242	12242	9909	1072	416	1072	416	9909	263	9439	22201	263	22201	9439	1934	1934	1204	1493	8803	8803	1204	1493	5315	9551	941	880	5315	941	880	1037	9551	1037	20975	2235	327	2235	327	20975	14270	2594	503	349	2594	349	503	14270	108066	3697	3697	136	136	17607	1412	1412	6219	17607	20473	6219	10197	9454	10197	4572	23745	9454	4572	23745	20473	6887	6887	277	277	1366	405	1366	405	899	899	885	11310	10010	885	3127	3127	11310	18464	6862	7986	7986	18464	10010	17260	6862	226	226	20976	2391	2391	14847	17260	20976	1321	14847	108066	1321	491	491	6408	17520	17520	11729	6408	11729	3868	3868	105	105	470	470	475	1553	475	1553	2854	2854	2661	2661	822	822	480	4526	480	4526	8286	8286	6459	2222	6459	2222	11920	8613	11920	1208	8613	1208	28308	13773	13773	52387	52387	28308	21035	21035	14302	14302	697746	697746	211909	211909	155857	145219	155857	145219	157970	68733	68733	157970	200172	200172	148347	130501	148347	130501	202896	202896	329823	329823
GH1	45	45	15	15	53	53	66	66	3	3	112	112	5	5	16	16	62	62	23	11	31	11	31	23	28	2	1614	28	1614	2	2	2	45	18	20	20	45	18	31	42	2	46	31	2	46	39	42	39	56	4	6	4	6	56	42	123	7	17	123	17	7	42	21	1365	1365	4	4	66	44	44	2548	66	177	2548	164	5	164	14	27	5	14	27	177	28	28	14	14	98	21	98	21	7	7	34	55	2	34	44	44	55	177	1	88	88	177	2	377	1	5	5	23	4	4	1349	377	23	16	1349	21	16	32	32	109	13	13	824	109	824	49	49	21	21	7	7	4175	8	4175	8	28	28	29	29	9	9	1	10	1	10	55	55	25	1	25	1	4	2	4	7	2	7	0	28	28	56	56	0	5	5	62	62	2571	2571	282	282	1967	765	1967	765	1111	9909	9909	1111	445	445	8254	736	8254	736	1438	1438	506	506
GH101	42979	42979	16430	16430	25670	25670	22437	22437	42492	42492	25082	25082	21721	21721	11663	11663	10899	10899	34937	18156	27867	18156	27867	34937	8757	46537	11784	8757	11784	46537	13580	13580	34954	26227	6724	6724	34954	26227	40349	34058	140959	19413	40349	140959	19413	25787	34058	25787	49849	9635	13173	9635	13173	49849	19427	58321	13273	18312	58321	18312	13273	19427	20340	16979	16979	5773	5773	31781	12208	12208	40811	31781	1109588	40811	20249	42177	20249	13477	45886	42177	13477	45886	1109588	34485	34485	17128	17128	35911	8057	35911	8057	14897	14897	27286	48566	41253	27286	15251	15251	48566	901495	32835	32260	32260	901495	41253	23006	32835	154477	154477	45828	11825	11825	39951	23006	45828	27829	39951	20340	27829	10214	10214	35955	15608	15608	13964	35955	13964	29010	29010	17454	17454	20736	20736	39066	16592	39066	16592	20838	20838	30319	30319	5951	5951	7081	354072	7081	354072	31977	31977	13025	62419	13025	62419	19610	13482	19610	21134	13482	21134	97667	34276	34276	30204	30204	97667	27652	27652	30250	30250	383557	383557	530160	530160	1052934	567264	1052934	567264	328898	1081808	1081808	328898	329798	329798	396518	440819	396518	440819	466556	466556	674605	674605
